AT1G05005	AT1G05005
AT1G05007	AT1G05007
AT1G05010	EFE
AT1G05013	AT1G05013
AT1G05017	AT1G05017
AT1G05020	PICALM6
AT1G05023	AT1G05023
AT1G05027	AT1G05027
AT1G05030	AT1G05030
AT1G05033	AT1G05033
AT1G05035	AT1G05035
AT1G05037	AT1G05037
AT1G05040	AT1G05040
AT1G05043	AT1G05043
AT1G05047	AT1G05047
AT1G05053	AT1G05053
AT1G05055	GTF2H2
AT1G05057	U2-14
AT1G05060	AT1G05060
AT1G05061	AT1G05061
AT1G05063	AT1G05063
AT1G05065	CLE20
AT1G05067	AT1G05067
AT1G05070	AT1G05070
AT1G05073	AT1G05073
AT1G05077	AT1G05077
AT1G05080	AT1G05080
AT1G05083	AT1G05083
AT1G05085	AT1G05085
AT1G05087	AT1G05087
AT1G05090	AT1G05090
AT1G05093	AT1G05093
AT1G05097	AT1G05097
AT1G05100	MAPKKK18
AT1G05103	AT1G05103
AT1G05107	AT1G05107
AT1G05113	AT1G05113
AT1G05117	AT1G05117
AT1G05120	AT1G05120
AT1G05123	AT1G05123
AT1G05127	AT1G05127
AT1G05133	AT1G05133
AT1G05135	AT1G05135
AT1G05136	AT1G05136
AT1G05137	AT1G05137
AT1G05140	AT1G05140
AT1G05143	AT1G05143
AT1G05147	AT1G05147
AT1G05150	AT1G05150
AT1G05153	AT1G05153
AT1G05157	AT1G05157
AT1G05160	KAO1
AT1G05163	AT1G05163
AT1G05167	AT1G05167
AT1G05170	AT1G05170
AT1G05173	AT1G05173
AT1G05177	AT1G05177
AT1G05180	AXR1
AT1G05183	AT1G05183
AT1G05187	AT1G05187
AT1G05190	RPL6
AT1G05193	AT1G05193
AT1G05197	AT1G05197
AT1G05200	GLUR3
AT1G05203	AT1G05203
AT1G05205	AT1G05205
AT1G05207	AT1G05207
AT1G05210	AT1G05210
AT1G05213	AT1G05213
AT1G05217	AT1G05217
AT1G05220	AT1G05220
AT1G05223	AT1G05223
AT1G05227	AT1G05227
AT1G05230	HDG2
AT1G05233	AT1G05233
AT1G05237	AT1G05237
AT1G05240	PR9
AT1G05243	AT1G05243
AT1G05247	AT1G05247
AT1G05250	PRX2
AT1G05253	AT1G05253
AT1G05257	AT1G05257
AT1G05260	RCI3A
AT1G05263	AT1G05263
AT1G05267	AT1G05267
AT1G05270	AT1G05270
AT1G05273	U2-1
AT1G05277	AT1G05277
AT1G05280	AT1G05280
AT1G05283	AT1G05283
AT1G05287	AT1G05287
AT1G05290	OMG1
AT1G05291	AT1G05291
AT1G05293	AT1G05293
AT1G05297	AT1G05297
AT1G05300	ZIP5
AT1G05303	AT1G05303
AT1G05307	AT1G05307
AT1G05310	AT1G05310
AT1G05313	AT1G05313
AT1G05317	AT1G05317
AT1G05320	PICL
AT1G05323	AT1G05323
AT1G05327	AT1G05327
AT1G05330	AT1G05330
AT1G05333	AT1G05333
AT1G05337	AT1G05337
AT1G05340	AthCYSTM1
AT1G05343	AT1G05343
AT1G05347	AT1G05347
AT1G05350	AT1G05350
AT1G05353	AT1G05353
AT1G05357	AT1G05357
AT1G05360	KMS2
AT1G05363	AT1G05363
AT1G05367	AT1G05367
AT1G05370	AT1G05370
AT1G05373	AT1G05373
AT1G05377	AT1G05377
AT1G05380	AT1G05380
AT1G05383	AT1G05383
AT1G05385	Psb27-H1
AT1G05387	AT1G05387
AT1G05390	AT1G05390
AT1G05397	AT1G05397
AT1G05400	AT1G05400
AT1G05407	AT1G05407
AT1G05410	AT1G05410
AT1G05413	AT1G05413
AT1G05417	AT1G05417
AT1G05420	OFP12
AT1G05423	AT1G05423
AT1G05427	AT1G05427
AT1G05430	AT1G05430
AT1G05433	AT1G05433
AT1G05440	AT1G05440
AT1G05443	AT1G05443
AT1G05447	AT1G05447
AT1G05450	AT1G05450
AT1G05453	AT1G05453
AT1G05460	SDE3
AT1G05463	AT1G05463
AT1G05467	AT1G05467
AT1G05470	CVP2
AT1G05473	AT1G05473
AT1G05477	AT1G05477
AT1G05483	AT1G05483
AT1G05487	AT1G05487
AT1G05490	CLSY3
AT1G05493	AT1G05493
AT1G05497	AT1G05497
AT1G05500	SYTE
AT1G05503	AT1G05503
AT1G05507	AT1G05507
AT1G05510	OBAP1a
AT1G05517	AT1G05517
AT1G05520	AtSEC23B
AT1G05523	AT1G05523
AT1G05527	AT1G05527
AT1G05530	UGT75B2
AT1G05533	AT1G05533
AT1G05537	AT1G05537
AT1G05540	AT1G05540
AT1G05543	AT1G05543
AT1G05547	AT1G05547
AT1G05550	AT1G05550
AT1G05553	AT1G05553
AT1G05557	AT1G05557
AT1G05560	UGT75B1
AT1G05562	AT1G05562
AT1G05563	AT1G05563
AT1G05567	AT1G05567
AT1G05570	GSL6
AT1G05575	AT1G05575
AT1G05577	SOK1
AT1G05580	CHX23
AT1G05583	AT1G05583
AT1G05587	AT1G05587
AT1G05590	HEXO2
AT1G05593	AT1G05593
AT1G05597	AT1G05597
AT1G05600	EMB3101
AT1G05603	AT1G05603
AT1G05607	AT1G05607
AT1G05610	APS2
AT1G05613	AT1G05613
AT1G05615	AT1G05615
AT1G05617	AT1G05617
AT1G05620	URH2
AT1G05623	AT1G05623
AT1G05627	ath-MIR5999
AT1G05630	AT5PTASE13
AT1G05633	AT1G05633
AT1G05637	ath-MIR781b
AT1G05640	AT1G05640
AT1G05643	AT1G05643
AT1G05647	AT1G05647
AT1G05650	AT1G05650
AT1G05653	AT1G05653
AT1G05657	AT1G05657
AT1G05660	AT1G05660
AT1G05663	AT1G05663
AT1G05667	AT1G05667
AT1G05670	AT1G05670
AT1G05673	U6atac2
AT1G05675	AT1G05675
AT1G05680	UGT74E2
AT1G05683	AT1G05683
AT1G05687	AT1G05687
AT1G05690	BT3
AT1G05693	AT1G05693
AT1G05697	AT1G05697
AT1G05700	AT1G05700
AT1G05703	AT1G05703
AT1G05707	AT1G05707
AT1G05710	AT1G05710
AT1G05713	AT1G05713
AT1G05717	AT1G05717
AT1G05720	AT1G05720
AT1G05723	AT1G05723
AT1G05727	AT1G05727
AT1G05730	AT1G05730
AT1G05733	AT1G05733
AT1G05737	AT1G05737
AT1G05740	AT1G05740
AT1G05747	AT1G05747
AT1G05750	PDE247
AT1G05753	AT1G05753
AT1G05757	AT1G05757
AT1G05760	RTM1
AT1G05763	AT1G05763
AT1G05767	AT1G05767
AT1G05770	AT1G05770
AT1G05773	AT1G05773
AT1G05777	AT1G05777
AT1G05780	AT1G05780
AT1G05783	AT1G05783
AT1G05785	AT1G05785
AT1G05787	AT1G05787
AT1G05790	AT1G05790
AT1G05793	AT1G05793
AT1G05797	AT1G05797
AT1G05800	DGL
AT1G05803	AT1G05803
AT1G05805	AKS2
AT1G05807	AT1G05807
AT1G05810	RABA5E
AT1G05813	AT1G05813
AT1G05817	AT1G05817
AT1G05820	SPPL5
AT1G05823	AT1G05823
AT1G05827	AT1G05827
AT1G05830	SDG30
AT1G05833	AT1G05833
AT1G05835	AT1G05835
AT1G05837	AT1G05837
AT1G05840	AT1G05840
AT1G05843	AT1G05843
AT1G05847	AT1G05847
AT1G05850	POM1
AT1G05853	U5-5
AT1G05857	AT1G05857
AT1G05860	AT1G05860
AT1G05863	AT1G05863
AT1G05867	AT1G05867
AT1G05870	AT1G05870
AT1G05873	AT1G05873
AT1G05880	ATARI12
AT1G05887	AT1G05887
AT1G05890	ATARI5
AT1G05893	AT1G05893
AT1G05894	AT1G05894
AT1G05897	AT1G05897
AT1G05900	NTH2
AT1G05903	AT1G05903
AT1G05907	AT1G05907
AT1G05910	BRAT1
AT1G05913	AT1G05913
AT1G05917	AT1G05917
AT1G05920	AT1G05920
AT1G05927	AT1G05927
AT1G05930	AT1G05930
AT1G05933	AT1G05933
AT1G05937	AT1G05937
AT1G05940	CAT9
AT1G05943	AT1G05943
AT1G05947	AT1G05947
AT1G05950	AT1G05950
AT1G05953	AT1G05953
AT1G05957	AT1G05957
AT1G05960	AT1G05960
AT1G05963	AT1G05963
AT1G05967	AT1G05967
AT1G05970	EDM3
AT1G05973	AT1G05973
AT1G05977	AT1G05977
AT1G05980	AT1G05980
AT1G05983	AT1G05983
AT1G05987	AT1G05987
AT1G05990	RHS1
AT1G05993	AT1G05993
AT1G05997	AT1G05997
AT1G06000	UGT89C1
AT1G06002	AT1G06002
AT1G06003	AT1G06003
AT1G06007	AT1G06007
AT1G06010	AT1G06010
AT1G06013	AT1G06013
AT1G06017	AT1G06017
AT1G06020	FRK5
AT1G06023	AT1G06023
AT1G06027	AT1G06027
AT1G06030	FRK6
AT1G06033	AT1G06033
AT1G06037	AT1G06037
AT1G06040	STO
AT1G06043	AT1G06043
AT1G06045	AT1G06045
AT1G06047	AT1G06047
AT1G06050	AT1G06050
AT1G06053	AT1G06053
AT1G06057	AT1G06057
AT1G06060	AT1G06060
AT1G06063	AT1G06063
AT1G06067	AT1G06067
AT1G06070	bZIP69
AT1G06073	AT1G06073
AT1G06080	AtADS1
AT1G06083	AT1G06083
AT1G06087	AT1G06087
AT1G06090	AT1G06090
AT1G06093	AT1G06093
AT1G06097	AT1G06097
AT1G06100	AT1G06100
AT1G06103	AT1G06103
AT1G06110	SKIP16
AT1G06113	AT1G06113
AT1G06117	AT1G06117
AT1G06120	AT1G06120
AT1G06123	AT1G06123
AT1G06127	AT1G06127
AT1G06130	GLX2-4
AT1G06133	AT1G06133
AT1G06135	AT1G06135
AT1G06137	AT1G06137
AT1G06140	MEF3
